trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-150.4727923069839,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-106.61376084401775,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",30,0,-119.20495215516003,"{0: 16, 1: 3, 2: 10, 3: 1, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,5,-114.66004577024496,"{0: 7, 1: 0, 2: 5, 3: 2, 4: 1}",1
5,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-145.31561780142343,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",30,0,-139.08273327498432,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,3,-105.9446982931205,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 2}",1
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-95.03204173314755,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-264.54844996045233,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 5}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-84.4946759014098,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-83.35751039100593,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,0,-189.7905659073561,"{0: 8, 1: 0, 2: 16, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,0,-47.74199033464058,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-50.099116402528125,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",25,0,-84.44045644894261,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",25,0,-75.49836641721062,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,0,-53.59018014990403,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",20,0,-143.7704560238004,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",30,0,-84.47928409220994,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",25,0,-131.3417351669185,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",25,8,-73.54057892217857,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",25,15,-34.636186321192575,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 0}",1
23,False,"{'a': 0.01, 'e': 0.794533602503334}",20,0,-74.60551742100517,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",25,0,-66.45647767152572,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",20,0,-133.34429392367875,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,0,-76.0116463789029,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",20,8,14.21183401345407,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",20,12,0.7746112317420362,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",25,0,-125.26594564169353,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",25,3,-119.55323555495714,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 2}",1
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",20,0,-31.479173544700025,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",30,0,-180.86019721271097,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",25,2,-69.07872129391227,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 1}",1
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",25,0,-140.5696517840341,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",1
